id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2018-0026,2,2018-03-09,4,avenida,4.0,-58.41657793,-34.65476216,movil-cargas,cargas,fatal,conductor,móvil,masculino,24
2018-0026,2,2018-03-09,4,avenida,4.0,-58.41657793,-34.65476216,movil-cargas,cargas,fatal,pasajero,móvil,masculino,30
2018-0027,1,2018-03-11,23,calle,5.0,-58.41911301,-34.63722107,peaton-moto,moto,fatal,peatón,peatón,femenino,74
2018-0028,1,2018-03-13,15,avenida,9.0,-58.47120586,-34.64251042,peaton-cargas,cargas,fatal,peatón,peatón,masculino,71
2018-0029,1,2018-03-15,18,avenida,11.0,-58.47418944,-34.62049672,moto-auto,auto,fatal,conductor,moto,masculino,26
2018-0030,1,2018-03-20,1,avenida,15.0,-58.46720441,-34.57905579,moto-moto,moto,fatal,conductor,moto,masculino,24
2018-0031,1,2018-03-28,10,avenida,11.0,-58.46909362,-34.6177971,moto-cargas,cargas,fatal,conductor,moto,masculino,31
2018-0032,1,2018-04-02,13,avenida,13.0,-58.44704343,-34.5688864,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,70
2018-0033,1,2018-04-07,7,avenida,10.0,-58.50535541,-34.62902048,moto-cargas,cargas,fatal,conductor,moto,femenino,42
2018-0034,1,2018-04-11,18,avenida,2.0,-58.40021675,-34.59522198,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,24
2018-0035,1,2018-04-12,16,avenida,7.0,-58.46325991,-34.62919627,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,39
2018-0036,1,2018-04-13,23,avenida,15.0,-58.49471482,-34.59694755,moto-auto,auto,fatal,conductor,moto,masculino,37
2018-0037,1,2018-04-18,18,avenida,2.0,-58.3987261,-34.59975962,peaton-cargas,cargas,fatal,peatón,peatón,masculino,84
2018-0038,2,2018-04-20,17,avenida,1.0,-58.38872177,-34.60885045,peaton-auto,auto,fatal,peatón,peatón,femenino,59
2018-0038,2,2018-04-20,17,avenida,1.0,-58.38872177,-34.60885045,peaton-auto,auto,fatal,peatón,peatón,masculino,61
2018-0039,1,2018-04-21,22,autopista,14.0,,,peaton-auto,auto,fatal,peatón,peatón,masculino,37
2018-0040,1,2018-04-27,11,calle,13.0,-58.45686132,-34.57305993,peaton-cargas,cargas,fatal,peatón,peatón,femenino,
2018-0041,1,2018-04-27,13,avenida,4.0,-58.42281627,-34.64282424,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,78
2018-0042,1,2018-04-27,18,calle,4.0,-58.38666024,-34.63953396,moto-cargas,cargas,fatal,pasajero,moto,masculino,23
2018-0043,1,2018-04-28,6,avenida,11.0,-58.49122843,-34.61207587,moto-auto,auto,fatal,conductor,moto,masculino,25
2018-0044,1,2018-04-28,9,avenida,3.0,-58.40098306,-34.61866627,peaton-auto,auto,fatal,peatón,peatón,femenino,50
2018-0045,1,2018-04-30,7,avenida,13.0,-58.45448963,-34.5791692,auto-cargas,cargas,fatal,conductor,auto,masculino,60
2018-0046,1,2018-05-02,3,gral paz,9.0,-58.52927982,-34.63931752,peaton-auto,auto,fatal,peatón,peatón,masculino,11
2018-0047,1,2018-05-08,19,avenida,15.0,-58.44759966,-34.5917024,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,82
2018-0048,1,2018-05-09,10,avenida,7.0,-58.46411215,-34.62925068,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,57
2018-0049,1,2018-05-11,19,calle,13.0,-58.4621322,-34.55395823,peaton-auto,auto,fatal,peatón,peatón,femenino,40
2018-0050,1,2018-05-14,18,avenida,13.0,-58.45669422,-34.5620361,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,47
2018-0051,1,2018-05-15,21,calle,4.0,-58.3597716,-34.64341878,peaton-auto,auto,fatal,peatón,peatón,femenino,57
2018-0052,1,2018-05-18,20,avenida,15.0,-58.49820145,-34.59070093,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,78
2018-0053,1,2018-05-20,2,calle,3.0,-58.4105928,-34.5993918,moto-auto,auto,fatal,conductor,moto,masculino,43
2018-0054,1,2018-05-22,11,calle,12.0,-58.47969138,-34.57121563,peaton-bicicleta,bicicleta,fatal,peatón,peatón,femenino,86
2018-0055,1,2018-05-29,7,avenida,3.0,-58.40351561,-34.61883916,moto-auto,auto,fatal,conductor,moto,masculino,21
2018-0056,1,2018-06-02,13,avenida,9.0,-58.51973844,-34.63918987,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,69
2018-0057,1,2018-06-03,3,calle,3.0,-58.39311376,-34.62163006,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,33
2018-0058,1,2018-06-03,6,avenida,15.0,-58.43531242,-34.59082159,moto-auto,auto,fatal,conductor,moto,masculino,26
2018-0059,1,2018-06-08,6,avenida,5.0,-58.41178165,-34.63035454,moto-movil,otro,fatal,conductor,moto,masculino,54
2018-0060,1,2018-06-08,12,avenida,1.0,-58.370488,-34.60189492,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,51
2018-0061,1,2018-06-10,11,calle,3.0,-58.39883882,-34.61964833,moto-moto,moto,fatal,conductor,moto,masculino,51
2018-0062,1,2018-06-14,1,calle,6.0,-58.44110156,-34.62082399,peaton-cargas,cargas,fatal,peatón,peatón,masculino,32
2018-0063,1,2018-06-16,21,avenida,1.0,-58.37093138,-34.59952725,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,28
2018-0064,1,2018-06-25,1,avenida,7.0,-58.45855262,-34.63953253,auto-cargas,cargas,fatal,conductor,auto,masculino,30
2018-0065,1,2018-06-26,17,calle,1.0,-58.38161909,-34.59283447,moto-cargas,cargas,fatal,conductor,moto,masculino,35
2018-0066,1,2018-06-28,11,avenida,15.0,-58.45511899,-34.58698157,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,73
2018-0067,1,2018-06-29,16,avenida,4.0,-58.37724226,-34.62973033,pasajeros-auto,auto,fatal,pasajero,pasajeros,femenino,81
2018-0068,1,2018-07-01,9,avenida,7.0,-58.45546217,-34.62930339,moto-auto,auto,fatal,conductor,moto,masculino,21
2018-0069,1,2018-07-04,21,avenida,2.0,-58.39897064,-34.59954925,bicicleta-pasajeros,pasajeros,fatal,ciclista,bicicleta,masculino,20
2018-0070,1,2018-07-07,15,calle,3.0,-58.40917826,-34.62126274,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,33
2018-0071,1,2018-07-10,17,avenida,1.0,-58.36726348,-34.61099738,moto-cargas,cargas,fatal,conductor,moto,masculino,
2018-0072,1,2018-07-11,13,autopista,8.0,-58.48267426,-34.68454456,moto-cargas,cargas,fatal,conductor,moto,masculino,27
2018-0073,1,2018-07-11,15,avenida,4.0,-58.39546165,-34.65168841,peaton-cargas,cargas,fatal,peatón,peatón,femenino,67
2018-0074,1,2018-07-14,6,avenida,7.0,-58.46941984,-34.63376545,auto-cargas,cargas,fatal,conductor,auto,masculino,25
2018-0075,1,2018-07-15,7,avenida,14.0,-58.40367321,-34.58129246,peaton-auto,auto,fatal,peatón,peatón,masculino,23
2018-0076,1,2018-07-16,9,calle,9.0,-58.52932872,-34.65014993,auto-cargas,cargas,fatal,conductor,auto,masculino,73
2018-0077,1,2018-07-16,23,calle,3.0,-58.40917826,-34.62126274,auto-cargas,cargas,fatal,conductor,auto,masculino,58
2018-0078,1,2018-07-21,6,calle,2.0,-58.41264127,-34.59473294,peaton-auto,auto,fatal,peatón,peatón,masculino,27
